Temp,Pres,Dens
283.72,4.056,848.76
283.84,4.0675,848.05
283.95,4.079,847.33
284.07,4.0905,846.62
284.19,4.102,845.9
284.31,4.1135,845.18
284.42,4.125,844.47
284.54,4.1365,843.75
284.66,4.148,843.04
284.77,4.1595,842.32
284.89,4.171,841.6
285.01,4.1825,840.88
285.12,4.194,840.17
285.24,4.2055,839.45
285.35,4.217,838.73
285.47,4.2285,838.01
285.58,4.24,837.29
285.7,4.2515,836.58
285.81,4.263,835.86
285.92,4.2745,835.14
286.04,4.286,834.42
286.15,4.2975,833.7
286.26,4.309,832.98
286.38,4.3205,832.25
286.49,4.332,831.53
286.6,4.3435,830.81
286.72,4.355,830.09
286.83,4.3665,829.37
286.94,4.378,828.64
287.05,4.3895,827.92
287.16,4.401,827.2
287.27,4.4125,826.47
287.39,4.424,825.75
287.5,4.4355,825.02
287.61,4.447,824.3
287.72,4.4585,823.57
287.83,4.47,822.84
287.94,4.4815,822.12
288.05,4.493,821.39
288.16,4.5045,820.66
288.27,4.516,819.93
288.38,4.5275,819.2
288.49,4.539,818.47
288.59,4.5505,817.74
288.7,4.562,817.01
288.81,4.5735,816.28
288.92,4.585,815.55
289.03,4.5965,814.81
289.13,4.608,814.08
289.24,4.6195,813.34
289.35,4.631,812.61
289.46,4.6425,811.87
289.56,4.654,811.14
289.67,4.6655,810.4
289.78,4.677,809.66
289.88,4.6885,808.93
289.99,4.7,808.19
290.1,4.7115,807.45
290.2,4.723,806.71
290.31,4.7345,805.96
290.41,4.746,805.22
290.52,4.7575,804.48
290.62,4.769,803.73
290.73,4.7805,802.99
290.83,4.792,802.24
290.94,4.8035,801.5
291.04,4.815,800.75
291.14,4.8265,800
291.25,4.838,799.25
291.35,4.8495,798.5
291.45,4.861,797.75
291.56,4.8725,797
291.66,4.884,796.25
291.76,4.8955,795.5
291.87,4.907,794.74
291.97,4.9185,793.99
292.07,4.93,793.23
292.17,4.9415,792.47
292.28,4.953,791.71
292.38,4.9645,790.95
292.48,4.976,790.19
292.58,4.9875,789.43
292.68,4.999,788.67
292.78,5.0105,787.9
292.88,5.022,787.14
292.98,5.0335,786.37
293.08,5.045,785.61
293.18,5.0565,784.84
293.29,5.068,784.07
293.39,5.0795,783.3
293.48,5.091,782.52
293.58,5.1025,781.75
293.68,5.114,780.98
293.78,5.1255,780.2
293.88,5.137,779.42
293.98,5.1485,778.64
294.08,5.16,777.86
294.18,5.1715,777.08
294.28,5.183,776.3
294.38,5.1945,775.51
294.47,5.206,774.73
294.57,5.2175,773.94
294.67,5.229,773.15
294.77,5.2405,772.36
294.86,5.252,771.57
294.96,5.2635,770.78
295.06,5.275,769.98
295.16,5.2865,769.19
295.25,5.298,768.39
295.35,5.3095,767.59
295.44,5.321,766.79
295.54,5.3325,765.99
295.64,5.344,765.18
295.73,5.3555,764.38
295.83,5.367,763.57
